date,daily_net_inflow_usd_m,cumulative_usd_m,value_traded_usd_m,net_assets_usd_m,source
2026-05-12,1.17,1.17,1.80,1.87,SoSoValue dashboard (recorded 2026-06-04)
2026-05-13,1.36,2.52,2.67,3.17,SoSoValue dashboard (recorded 2026-06-04)
2026-05-15,4.36,6.88,9.98,13.89,SoSoValue dashboard (recorded 2026-06-04)
2026-05-18,4.42,6.94,12.04,18.59,SoSoValue dashboard (recorded 2026-06-04)
2026-05-19,11.04,22.34,22.96,30.82,SoSoValue dashboard (recorded 2026-06-04)
2026-05-20,25.46,47.80,41.08,58.73,SoSoValue dashboard (recorded 2026-06-04)
2026-05-21,16.15,63.96,83.21,81.13,SoSoValue dashboard (recorded 2026-06-04)
2026-05-22,10.95,74.91,84.06,89.20,SoSoValue dashboard (recorded 2026-06-04)
2026-05-26,20.45,95.36,53.70,117.38,SoSoValue dashboard (recorded 2026-06-04)
2026-05-27,3.40,98.76,37.49,118.97,SoSoValue dashboard (recorded 2026-06-04)
2026-05-28,1.72,100.48,34.76,122.20,SoSoValue dashboard (recorded 2026-06-04)
2026-05-29,31.62,132.10,83.37,164.34,SoSoValue dashboard (recorded 2026-06-04)
2026-06-01,1.28,133.38,60.30,185.22,SoSoValue dashboard (recorded 2026-06-04)
2026-06-02,3.15,136.53,53.32,180.01,SoSoValue dashboard (recorded 2026-06-04)
2026-06-03,2.99,139.51,33.72,192.01,SoSoValue dashboard (recorded 2026-06-04)
2026-06-04,12.15,151.66,50.05,185.68,SoSoValue dashboard (recorded 2026-06-04)
