coin,time,funding_rate,premium
HYPE,2026-04-30 12:00:00.065000+00:00,-2.2365e-06,-0.0005178918
HYPE,2026-04-30 13:00:00.045000+00:00,1.25e-05,-0.0001696683
HYPE,2026-04-30 14:00:00.004000+00:00,1.25e-05,-6.3605e-05
HYPE,2026-04-30 15:00:00.033000+00:00,1.25e-05,-5.17002e-05
HYPE,2026-04-30 16:00:00.003000+00:00,1.25e-05,-0.0001919453
HYPE,2026-04-30 17:00:00.029000+00:00,1.25e-05,-0.0001817763
HYPE,2026-04-30 18:00:00.025000+00:00,1.25e-05,-0.0001368713
HYPE,2026-04-30 19:00:00.030000+00:00,1.25e-05,-5.8007e-05
HYPE,2026-04-30 20:00:00.048000+00:00,1.25e-05,-0.0001017401
HYPE,2026-04-30 21:00:00.009000+00:00,3.4572e-06,-0.0004723424
HYPE,2026-04-30 22:00:00.010000+00:00,-1.17022e-05,-0.0005936176
HYPE,2026-04-30 23:00:00.005000+00:00,1.2768e-06,-0.0004897855
HYPE,2026-05-01 00:00:00.045000+00:00,-3.746e-07,-0.000502997
HYPE,2026-05-01 01:00:00.040000+00:00,1.07781e-05,-0.000413775
HYPE,2026-05-01 02:00:00.073000+00:00,1.25e-05,-0.0001437539
HYPE,2026-05-01 03:00:00.003000+00:00,1.25e-05,-0.0002929649
HYPE,2026-05-01 04:00:00.097000+00:00,1.25e-05,-0.0002417167
HYPE,2026-05-01 05:00:00.029000+00:00,1.25e-05,-0.0001422355
HYPE,2026-05-01 06:00:00.052000+00:00,1.25e-05,-0.0001990883
HYPE,2026-05-01 07:00:00.028000+00:00,1.25e-05,-0.0002244131
HYPE,2026-05-01 08:00:00.049000+00:00,1.25e-05,-0.0001096672
HYPE,2026-05-01 09:00:00.046000+00:00,1.25e-05,-0.0003228896
HYPE,2026-05-01 10:00:00.063000+00:00,1.25e-05,-0.0002898736
HYPE,2026-05-01 11:00:00.046000+00:00,1.25e-05,-0.0003947187
HYPE,2026-05-01 12:00:00.012000+00:00,1.21164e-05,-0.000403069
HYPE,2026-05-01 13:00:00.028000+00:00,-7.58e-07,-0.0005060642
HYPE,2026-05-01 14:00:00.051000+00:00,1.25e-05,-0.000291633
HYPE,2026-05-01 15:00:00.002000+00:00,1.25e-05,-0.000304591
HYPE,2026-05-01 16:00:00.055000+00:00,1.25e-05,-0.0002734084
HYPE,2026-05-01 17:00:00.055000+00:00,1.25e-05,-0.0003496773
HYPE,2026-05-01 18:00:00.043000+00:00,6.4292e-06,-0.0004485665
HYPE,2026-05-01 19:00:00.031000+00:00,1.22145e-05,-0.0004022844
HYPE,2026-05-01 20:00:00.011000+00:00,8.2826e-06,-0.0004337394
HYPE,2026-05-01 21:00:00.059000+00:00,-5.0153e-06,-0.0005401221
HYPE,2026-05-01 22:00:00.054000+00:00,1.25e-05,-0.0003410528
HYPE,2026-05-01 23:00:00.002000+00:00,1.25e-05,-0.0003053946
HYPE,2026-05-02 00:00:00.010000+00:00,1.25e-05,-0.0002496735
HYPE,2026-05-02 01:00:00.070000+00:00,9.4446e-06,-0.0004244429
HYPE,2026-05-02 02:00:00.056000+00:00,1.25e-05,-0.0003043377
HYPE,2026-05-02 03:00:00.038000+00:00,1.25e-05,-0.0002660704
HYPE,2026-05-02 04:00:00.019000+00:00,1.25e-05,-0.0003106314
HYPE,2026-05-02 05:00:00.004000+00:00,1.25e-05,-7.55977e-05
HYPE,2026-05-02 06:00:00.040000+00:00,1.25e-05,-0.0001462012
HYPE,2026-05-02 07:00:00.044000+00:00,1.25e-05,-0.0003843894
HYPE,2026-05-02 08:00:00.031000+00:00,1.25e-05,-8.62709e-05
HYPE,2026-05-02 09:00:00.002000+00:00,3.72869e-05,0.0007982953
