date,tvl_usd
2023-06-09,3578746
2023-06-10,3545393
2023-06-11,3495056
2023-06-12,3468420
2023-06-13,3321824
2023-06-14,3311013
2023-06-15,3312639
2023-06-16,3363218
2023-06-17,3449652
2023-06-18,3456379
2023-06-19,3459557
2023-06-20,3343706
2023-06-21,3231313
2023-06-22,3271606
2023-06-23,3257585
2023-06-24,3277395
2023-06-25,3203137
2023-06-26,3233112
2023-06-27,3304769
2023-06-28,3266184
2023-06-29,3296681
2023-06-30,3308754
2023-07-01,3397471
2023-07-02,3359952
2023-07-03,3384971
2023-07-04,3092030
2023-07-05,3178052
2023-07-06,3152538
2023-07-07,3168164
2023-07-08,3260666
2023-07-09,3204794
2023-07-10,2796077
2023-07-11,2796251
2023-07-12,2818522
2023-07-13,2857999
2023-07-14,3087583
2023-07-15,3217260
2023-07-16,3204251
2023-07-17,3188197
2023-07-18,3126040
2023-07-19,3156723
2023-07-20,3344757
2023-07-21,3362256
2023-07-22,3375671
2023-07-23,3409513
2023-07-24,3305620
2023-07-25,3334362
2023-07-26,3016982
2023-07-27,3039223
2023-07-28,3033549
2023-07-29,3089461
2023-07-30,3163954
2023-07-31,3178095
2023-08-01,3134645
2023-08-02,3142173
2023-08-03,3157057
2023-08-04,3182419
2023-08-05,3225000
2023-08-06,3158003
2023-08-07,3252921
2023-08-08,3622235
2023-08-09,4115304
2023-08-10,4189426
2023-08-11,4160353
2023-08-12,3781962
2023-08-13,3718263
2023-08-14,3713104
2023-08-15,3740719
2023-08-16,3876210
2023-08-17,4535202
2023-08-18,4633720
2023-08-19,5122197
2023-08-20,5291474
2023-08-21,5160640
2023-08-22,7811915
2023-08-23,8366660
2023-08-24,8798754
2023-08-25,8884351
2023-08-26,8977209
2023-08-27,9194699
2023-08-28,9253999
2023-08-29,9263652
2023-08-30,8604902
2023-08-31,8282637
2023-09-01,8393922
2023-09-02,8441250
2023-09-03,8995532
2023-09-04,9819430
2023-09-05,10289266
2023-09-06,10031033
2023-09-07,10568812
2023-09-08,10851289
2023-09-09,11014308
2023-09-10,11200053
2023-09-11,11307735
2023-09-12,11484199
2023-09-13,11319763
2023-09-14,12171111
2023-09-15,12545355
2023-09-16,12696042
2023-09-17,12841197
2023-09-18,12908283
2023-09-19,12780927
2023-09-20,12630312
2023-09-21,12099461
2023-09-22,12213787
2023-09-23,12106080
2023-09-24,12079665
2023-09-25,11902983
2023-09-26,11846669
2023-09-27,11917971
2023-09-28,11381443
2023-09-29,11363484
2023-09-30,11447347
2023-10-01,11458224
2023-10-02,11346943
2023-10-03,11265922
2023-10-04,11322242
2023-10-05,11510648
2023-10-06,11378750
2023-10-07,11369661
2023-10-08,11311227
2023-10-09,11852956
2023-10-10,11842104
2023-10-11,12021577
2023-10-12,12296494
2023-10-13,12289293
2023-10-14,12551439
2023-10-15,12646005
2023-10-16,12777375
2023-10-17,12881665
2023-10-18,13012408
2023-10-19,13418146
2023-10-20,13851810
2023-10-21,13883854
2023-10-22,13946802
2023-10-23,13974715
2023-10-24,13991158
2023-10-25,13806628
2023-10-26,13451172
2023-10-27,13312688
2023-10-28,13385134
2023-10-29,13366241
2023-10-30,13296036
2023-10-31,13367045
2023-11-01,14168175
2023-11-02,14671462
2023-11-03,14609385
2023-11-04,14882790
2023-11-05,14876796
2023-11-06,15138217
2023-11-07,15366500
2023-11-08,15532375
2023-11-09,15684681
2023-11-10,15662718
2023-11-11,15731015
2023-11-12,16425198
2023-11-13,17325766
2023-11-14,17731478
2023-11-15,18511113
2023-11-16,19313760
2023-11-17,19554560
2023-11-18,19433670
2023-11-19,19193626
2023-11-20,19140687
2023-11-21,19690320
2023-11-22,20271220
2023-11-23,22071776
2023-11-24,22653474
2023-11-25,23295174
2023-11-26,23608759
2023-11-27,24704215
2023-11-28,25472677
2023-11-29,26815745
2023-11-30,28201349
2023-12-01,29650772
2023-12-02,30314021
2023-12-03,33095529
2023-12-04,34092704
2023-12-05,36212982
2023-12-06,37075111
2023-12-07,39146337
2023-12-08,39398380
2023-12-09,41467847
2023-12-10,41184560
2023-12-11,41371647
2023-12-12,39916986
2023-12-13,40409341
2023-12-14,40529228
2023-12-15,42317463
2023-12-16,42144824
2023-12-17,43188662
2023-12-18,43669533
2023-12-19,42899407
2023-12-20,44006228
2023-12-21,45531229
2023-12-22,47338240
2023-12-23,48680629
2023-12-24,49783906
2023-12-25,51146109
2023-12-26,53323607
2023-12-27,53281397
2023-12-28,54530682
2023-12-29,54845354
2023-12-30,56580962
2023-12-31,57245175
2024-01-01,57944200
2024-01-02,60782024
2024-01-03,64977192
2024-01-04,61418311
2024-01-05,63958209
2024-01-06,65575033
2024-01-07,65949239
2024-01-08,68545773
2024-01-09,70483180
2024-01-10,71348929
2024-01-11,78224114
2024-01-12,84748796
2024-01-13,88525274
2024-01-14,92462541
2024-01-15,95820723
2024-01-16,98485043
2024-01-17,102209060
2024-01-18,105144156
2024-01-19,106935735
2024-01-20,112133366
2024-01-21,112451703
2024-01-22,113681231
2024-01-23,115560244
2024-01-24,121791666
2024-01-25,124410459
2024-01-26,125143508
2024-01-27,126962757
2024-01-28,125918361
2024-01-29,128013626
2024-01-30,129537425
2024-01-31,132713498
2024-02-01,134525297
2024-02-02,136776169
2024-02-03,142165899
2024-02-04,144995859
2024-02-05,149389422
2024-02-06,153055183
2024-02-07,158157717
2024-02-08,161790312
2024-02-09,160335903
2024-02-10,164417810
2024-02-11,163974475
2024-02-12,161733026
2024-02-13,157325767
2024-02-14,156869601
2024-02-15,159566911
2024-02-16,166222243
2024-02-17,169562693
2024-02-18,171433309
2024-02-19,173635049
2024-02-20,179146832
2024-02-21,179682509
2024-02-22,180789766
2024-02-23,185860152
2024-02-24,192607913
2024-02-25,194849758
2024-02-26,196178668
2024-02-27,197887190
2024-02-28,204789783
2024-02-29,213367150
2024-03-01,215721585
2024-03-02,222262798
2024-03-03,227815078
2024-03-04,230714255
2024-03-05,242218489
2024-03-06,240859399
2024-03-07,249086920
2024-03-08,256039053
2024-03-09,261385371
2024-03-10,266637750
2024-03-11,268308519
2024-03-12,269470169
2024-03-13,270772492
2024-03-14,274610262
2024-03-15,283123708
2024-03-16,287694349
2024-03-17,288444661
2024-03-18,292050067
2024-03-19,296627584
2024-03-20,302081395
2024-03-21,315451379
2024-03-22,320690202
2024-03-23,321353181
2024-03-24,324741760
2024-03-25,334196308
2024-03-26,342997501
2024-03-27,345492001
2024-03-28,343607309
2024-03-29,343058172
2024-03-30,349892919
2024-03-31,350525430
2024-04-01,351273209
2024-04-02,347825730
2024-04-03,340008800
2024-04-04,340013492
2024-04-05,342205018
2024-04-06,342500865
2024-04-07,353529540
2024-04-08,355020080
2024-04-09,359307746
2024-04-10,364414333
2024-04-11,369737425
2024-04-12,377717874
2024-04-13,376489277
2024-04-14,355076094
2024-04-15,351370015
2024-04-16,350353409
2024-04-17,356064782
2024-04-18,351977148
2024-04-19,354474663
2024-04-20,357535035
2024-04-21,360813849
2024-04-22,361016581
2024-04-23,363200344
2024-04-24,362985339
2024-04-25,358995221
2024-04-26,360062816
2024-04-27,360624902
2024-04-28,359855178
2024-04-29,360741534
2024-04-30,361908557
2024-05-01,364870520
2024-05-02,361792440
2024-05-03,359353853
2024-05-04,361551550
2024-05-05,356412084
2024-05-06,354983312
2024-05-07,341384260
2024-05-08,341487622
2024-05-09,341819800
2024-05-10,348461721
2024-05-11,349164547
2024-05-12,348601807
2024-05-13,348675468
